"response","term","estimate","std.error","conf.low","conf.high","statistic","p.value","sig"
"log_Total_cells_ml [peptide env-only]","LocationPanama",0.1407,0.1948,-0.2511,0.5325,0.7223,0.4736,""
"log_Total_cells_ml [peptide env-only]","temp_seasonality",3e-04,0.001,-0.0016,0.0023,0.3439,0.7324,""
"log_Total_cells_ml [peptide host-only]","(Intercept)",11.5667,0.0481,11.4717,11.6618,240.5293,0,"***"
"log_Total_cells_ml [peptide host-only]","LocationCalifornia",2.3264,0.0435,2.2365,2.4162,53.4666,0,"***"
"log_Total_cells_ml [peptide host-only]","LocationPanama",0.0097,0.0523,-0.0987,0.1181,0.1859,0.8542,""
"log_Total_cells_ml [peptide host-only]","bd_detectedPositive",-0.0085,0.0094,-0.0271,0.0101,-0.9031,0.3677,""
"log_Total_cells_ml [peptide host-only]","body_temp_c",0.0076,0.0017,0.0042,0.0109,4.49,0,"***"
"log_Total_cells_ml [peptide host-only]","log_peptides",-0.0028,0.0039,-0.0105,0.005,-0.7037,0.4826,""
"logit_Per_active [peptide global]","(Intercept)",1.3457,0.4976,0.3531,2.3383,2.7043,0.0086,"**"
"logit_Per_active [peptide global]","LocationCalifornia",-0.0255,0.7574,-1.5383,1.4873,-0.0336,0.9733,""
"logit_Per_active [peptide global]","LocationPanama",-0.1815,0.3831,-0.9476,0.5845,-0.4739,0.6373,""
"logit_Per_active [peptide global]","temp_seasonality",-5e-04,0.0019,-0.0043,0.0033,-0.2411,0.8102,""
"logit_Per_active [peptide global]","bd_detectedPositive",0.9969,0.0497,0.8989,1.0949,20.0649,0,"***"
"logit_Per_active [peptide global]","body_temp_c",0.005,0.0093,-0.0134,0.0234,0.5357,0.5928,""
"logit_Per_active [peptide global]","log_peptides",0.0203,0.0221,-0.0232,0.0639,0.9203,0.3586,""
"logit_Per_active [peptide env-only]","(Intercept)",1.0901,0.8357,-0.5691,2.7492,1.3043,0.1953,""
"logit_Per_active [peptide env-only]","LocationCalifornia",-1.0998,1.3013,-3.6831,1.4836,-0.8451,0.4002,""
"logit_Per_active [peptide env-only]","LocationPanama",0.6636,0.6593,-0.6457,1.9729,1.0065,0.3168,""
"logit_Per_active [peptide env-only]","temp_seasonality",0.0027,0.0033,-0.0039,0.0092,0.8041,0.4233,""
"logit_Per_active [peptide host-only]","(Intercept)",1.2385,0.2225,0.7995,1.6775,5.5665,0,"***"
"logit_Per_active [peptide host-only]","LocationCalifornia",-0.2074,0.0722,-0.3518,-0.063,-2.8729,0.0056,"**"
"logit_Per_active [peptide host-only]","LocationPanama",-0.0906,0.0674,-0.2295,0.0484,-1.3425,0.1916,""
"logit_Per_active [peptide host-only]","bd_detectedPositive",0.9956,0.0493,0.8983,1.093,20.1768,0,"***"
"logit_Per_active [peptide host-only]","body_temp_c",0.0045,0.0091,-0.0134,0.0224,0.4975,0.6194,""
"logit_Per_active [peptide host-only]","log_peptides",0.0209,0.0219,-0.0223,0.0641,0.9538,0.3414,""
"log_Viable [peptide global]","(Intercept)",5.8672,3.8669,-1.7609,13.4952,1.5173,0.1309,""
"log_Viable [peptide global]","LocationCalifornia",0.8676,5.8637,-10.6994,12.4346,0.148,0.8825,""
"log_Viable [peptide global]","LocationPanama",1.5559,2.9586,-4.2804,7.3922,0.5259,0.5996,""
"log_Viable [peptide global]","temp_seasonality",0.0013,0.0147,-0.0278,0.0303,0.0856,0.9318,""
"log_Viable [peptide global]","bd_detectedPositive",0.1378,0.404,-0.6592,0.9348,0.3411,0.7334,""
"log_Viable [peptide global]","body_temp_c",-0.0163,0.0759,-0.166,0.1334,-0.2149,0.83,""
"log_Viable [peptide global]","log_peptides",0.1704,0.1803,-0.1852,0.5259,0.9452,0.3458,""
"log_Viable [peptide env-only]","(Intercept)",6.8895,3.6137,-0.2164,13.9954,1.9065,0.0574,"."
